year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,14,22,99999,6,99999,99999,99999,99999
2010,6,14,23,99999,5,99999,99999,99999,99999
2010,6,15,0,99999,6,99999,99999,99999,99999
2010,6,15,1,99999,6,99999,99999,99999,99999
2010,6,15,2,99999,8,99999,99999,99999,99999
2010,6,15,3,99999,8,99999,99999,99999,99999
2010,6,15,4,99999,7,99999,99999,99999,99999
2010,6,15,5,99999,7,99999,99999,99999,99999
2010,6,15,6,99999,8,99999,99999,99999,99999
2010,6,15,7,99999,7,99999,99999,99999,99999
2010,6,15,8,99999,9,99999,99999,99999,99999
2010,6,15,9,99999,8,99999,99999,99999,99999
2010,6,15,10,99999,9,99999,99999,99999,99999
2010,6,15,11,99999,10,99999,99999,99999,99999
2010,6,15,12,99999,10,99999,99999,99999,99999
2010,6,15,13,99999,10,99999,99999,99999,99999
2010,6,15,14,99999,7,99999,99999,99999,99999
2010,6,15,15,99999,6,99999,99999,99999,99999
2010,6,15,16,99999,8,99999,99999,99999,99999
2010,6,15,17,99999,6,99999,99999,99999,99999
2010,6,15,18,99999,7,99999,99999,99999,99999
2010,6,15,19,99999,6,99999,99999,99999,99999
2010,6,15,20,99999,4,99999,99999,99999,99999
2010,6,15,21,99999,7,99999,99999,99999,99999
2010,6,15,22,99999,6,99999,99999,99999,99999
2010,6,15,23,99999,6,99999,99999,99999,99999
2010,6,16,0,99999,8,99999,99999,99999,99999
2010,6,16,1,99999,7,99999,99999,99999,99999
2010,6,16,2,99999,7,99999,99999,99999,99999
2010,6,16,3,99999,8,99999,99999,99999,99999
2010,6,16,4,99999,6,99999,99999,99999,99999
2010,6,16,5,99999,5,99999,99999,99999,99999
2010,6,16,6,99999,5,99999,99999,99999,99999
2010,6,16,7,99999,6,99999,99999,99999,99999
2010,6,16,8,99999,4,99999,99999,99999,99999
2010,6,16,9,99999,10,99999,99999,99999,99999
2010,6,16,10,99999,7,99999,99999,99999,99999
2010,6,16,11,99999,8,99999,99999,99999,99999
2010,6,16,12,99999,10,99999,99999,99999,99999
2010,6,16,13,99999,9,99999,99999,99999,99999
2010,6,16,14,99999,10,99999,99999,99999,99999
2010,6,16,15,99999,12,99999,99999,99999,99999
2010,6,16,16,99999,27,99999,99999,99999,99999
2010,6,16,17,99999,32,99999,99999,99999,99999
2010,6,16,18,99999,21,99999,99999,99999,99999
2010,6,16,19,99999,26,99999,99999,99999,99999
2010,6,16,20,99999,17,99999,99999,99999,99999
2010,6,16,21,99999,14,99999,99999,99999,99999
2010,6,16,22,99999,22,99999,99999,99999,99999
2010,6,16,23,99999,12,99999,99999,99999,99999
2010,6,17,0,99999,9,99999,99999,99999,99999
2010,6,17,1,99999,9,99999,99999,99999,99999
2010,6,17,2,99999,8,99999,99999,99999,99999
2010,6,17,3,99999,99999,99999,99999,99999,99999
2010,6,17,4,99999,99999,99999,99999,99999,99999
2010,6,17,5,99999,99999,99999,99999,99999,99999
2010,6,17,6,99999,99999,99999,99999,99999,99999
2010,6,17,7,99999,99999,99999,99999,99999,99999
2010,6,17,8,99999,99999,99999,99999,99999,99999
2010,6,17,9,99999,99999,99999,99999,99999,99999
2010,6,17,10,99999,99999,99999,99999,99999,99999
2010,6,17,11,99999,99999,99999,99999,99999,99999
2010,6,17,12,99999,99999,99999,99999,99999,99999
2010,6,17,13,99999,16,99999,99999,99999,99999
2010,6,17,14,99999,10,99999,99999,99999,99999
2010,6,17,15,99999,12,99999,99999,99999,99999
2010,6,17,16,99999,12,99999,99999,99999,99999
2010,6,17,17,99999,11,99999,99999,99999,99999
